iter	MAE
0	1.505146053
1	1.453508796
2	1.393020076
3	1.342923264
4	1.314652448
5	1.300828643
6	1.257290585
7	1.231763736
8	1.203932369
9	1.192712594
10	1.168116628
11	1.133689471
12	1.111213144
13	1.097135076
14	1.06398147
15	1.042665152
16	1.02676779
17	1.003579501
18	0.9889449963
19	0.9711373049
20	0.9556390583
21	0.941514359
22	0.9223770569
23	0.9080398214
24	0.8889998222
25	0.8791079804
26	0.8657344893
27	0.8446771099
28	0.8376403224
29	0.8307337618
30	0.8251094853
31	0.8139429712
32	0.8053483379
33	0.7934877153
34	0.7836499852
35	0.778379395
36	0.7717447382
37	0.7688769623
38	0.7590235086
39	0.7523759176
40	0.7429704143
41	0.7361950099
42	0.7328979124
43	0.7218707715
44	0.7149311246
45	0.7075349486
46	0.7014188044
47	0.6979865062
48	0.6930656707
49	0.6870800686
50	0.6841756865
51	0.6771613807
52	0.6705093189
53	0.6691541881
54	0.6665111913
55	0.6618734967
56	0.6530886162
57	0.6497351238
58	0.6401866185
59	0.6356440871
60	0.6328383867
61	0.6218919245
62	0.6123751787
63	0.6079728538
64	0.6001998207
65	0.5966493536
66	0.5915944437
67	0.5894107875
68	0.5865731041
69	0.582367465
70	0.5794569926
71	0.5762861543
72	0.5692504651
73	0.5634732606
74	0.5599259655
75	0.5540986532
76	0.550408904
77	0.5472601523
78	0.5453695864
79	0.5438011486
80	0.5377240464
81	0.5359552215
82	0.5310297844
83	0.5280102063
84	0.5240900288
85	0.5233069104
86	0.5190414333
87	0.5139692029
88	0.51272105
89	0.5105449713
90	0.5076503628
91	0.5050524511
92	0.502015427
93	0.4988774285
94	0.4944730862
95	0.4922183034
96	0.490770772
97	0.4889498902
98	0.4868183827
99	0.4851402007
100	0.481425739
101	0.4773139335
102	0.4712053583
103	0.4680724518
104	0.4636336021
105	0.4603694925
106	0.4582484449
107	0.4571286939
108	0.4553257706
109	0.4544244322
110	0.4520875236
111	0.4515735899
112	0.4498480936
113	0.4482482736
114	0.4465149679
115	0.4448160362
116	0.4422951802
117	0.4410233541
118	0.4396016562
119	0.4382210142
120	0.4376256756
121	0.4318651593
122	0.4315834922
123	0.4310291205
124	0.4303804183
125	0.4299574856
126	0.4294695357
127	0.4282816432
128	0.4240351489
129	0.4212757783
130	0.4197658406
131	0.416729214
132	0.4161568212
133	0.4149230142
134	0.41349495
135	0.4118073218
136	0.4110817091
137	0.4108701646
138	0.408770985
139	0.4073893754
140	0.4065168766
141	0.4055354358
142	0.4054617312
143	0.4052119489
144	0.4048361043
145	0.4047005715
146	0.4036197761
147	0.4016799401
148	0.4007712594
149	0.3984788491
150	0.3966588369
151	0.3966090686
152	0.3960038341
153	0.3952254133
154	0.394483362
155	0.3923763668
156	0.3917465433
157	0.391280006
158	0.3905694508
159	0.3884787497
160	0.3877730023
161	0.3871754896
162	0.3849616522
163	0.3843034247
164	0.3840443634
165	0.3793918383
166	0.3749253113
167	0.3748240397
168	0.372868764
169	0.371995675
170	0.3714748255
171	0.370612903
172	0.3699330307
173	0.3696619541
174	0.3677537938
175	0.3656845532
176	0.3636219084
177	0.3633705057
178	0.3624803183
179	0.3618844753
180	0.3607299642
181	0.3598822868
182	0.3588584945
183	0.358414314
184	0.3574451358
185	0.3572115829
186	0.3567431406
187	0.3542529745
188	0.3534975307
189	0.3532303146
190	0.3529702531
191	0.3517232696
192	0.3504172125
193	0.350202051
194	0.3487826045
195	0.3484841578
196	0.34815496
197	0.34756226
198	0.3474551571
199	0.3469344473
200	0.3441993793
201	0.3441396476
202	0.3416540951
203	0.3402341684
204	0.3398293164
205	0.3394257156
206	0.3377844211
207	0.3367864135
208	0.3367128612
209	0.3365323476
210	0.3365033419
211	0.3356719909
212	0.3341054201
213	0.333945606
214	0.3338135614
215	0.3334912726
216	0.3322482408
217	0.3314330036
218	0.3306441931
219	0.3304206914
220	0.3302617452
221	0.3302115358
222	0.3280959648
223	0.3280634267
224	0.3279213847
225	0.3258088391
226	0.3254905453
227	0.3253918119
228	0.3252574907
229	0.3251148137
230	0.3247486856
231	0.3243911068
232	0.3235277058
233	0.3210081849
234	0.3188045049
235	0.317272207
236	0.3166003819
237	0.3164335909
238	0.3159486011
239	0.3134346077
240	0.3130929434
241	0.3129989431
242	0.312192276
243	0.3120681903
244	0.3118478322
245	0.309155608
246	0.3090348081
247	0.3089834845
248	0.308711766
249	0.3085940022
250	0.3076493414
251	0.3068662153
252	0.3068029538
253	0.3058951633
254	0.3045681829
255	0.3044157364
256	0.3039668704
257	0.303831605
258	0.3029850049
259	0.3027124568
260	0.3014129809
261	0.3013623494
262	0.3012861503
263	0.3011313545
264	0.299034092
265	0.2980806559
266	0.2980427547
267	0.2979841072
268	0.2969617433
269	0.2962176781
270	0.2961285672
