iter	MAE
271	0.2952672305
272	0.2951824998
273	0.2940597573
274	0.2931153898
275	0.2929311923
276	0.2928286139
277	0.292312839
278	0.2886055676
279	0.2885546865
280	0.2882373024
281	0.2878458442
282	0.2875318379
283	0.2873845789
284	0.2864205053
285	0.2858995772
286	0.2823516573
287	0.2822114698
288	0.2819079839
289	0.28166797
290	0.2780295759
291	0.277835824
292	0.2764422153
293	0.2759097074
294	0.2747889705
295	0.2746379528
296	0.2744970819
297	0.2738992319
298	0.2737433093
299	0.2716538537
300	0.2715873505
301	0.2713014694
302	0.2701239913
303	0.2698034457
304	0.2693091259
305	0.2691147961
306	0.269029301
307	0.2689986548
308	0.2688837757
309	0.2683423943
310	0.2671694117
311	0.266944353
312	0.2667276205
313	0.266650942
314	0.2662283081
315	0.2646851934
316	0.2631343596
317	0.2631113912
318	0.2630590933
319	0.2630312631
320	0.2625507134
321	0.2624704581
322	0.2619345096
323	0.2617182212
324	0.2616362433
325	0.2615504436
326	0.261096841
327	0.2600442568
328	0.2599827856
329	0.25957028
330	0.2595196149
331	0.2594866864
332	0.2593353265
333	0.2592546464
334	0.2591484256
335	0.2590512394
336	0.2581815796
337	0.257662079
338	0.2573731609
339	0.2568551219
340	0.2563843036
341	0.2562955253
342	0.2560932766
343	0.2556515471
344	0.2555154537
345	0.2553866097
346	0.2551855503
347	0.255032565
348	0.2546937476
349	0.2545397128
350	0.2541886593
351	0.254063241
352	0.2534934166
353	0.2534313456
354	0.2525380972
355	0.2525029729
356	0.252396021
357	0.2518430136
358	0.2515832972
359	0.2511832853
360	0.2510256452
361	0.2494608396
362	0.248545215
363	0.248477108
364	0.2483981627
365	0.2483223021
366	0.248202233
367	0.2479314064
368	0.2478218995
369	0.2468290278
370	0.246788948
371	0.2463260101
372	0.2460668319
373	0.2459889123
374	0.2456949075
375	0.2455343154
376	0.2453426507
377	0.245308903
378	0.2450498503
379	0.244964244
380	0.2449270786
381	0.2447908373
382	0.2442447003
383	0.2431294405
384	0.2430440507
385	0.2428048363
386	0.242454299
387	0.242301309
388	0.2418123571
389	0.2411495121
390	0.2406851013
391	0.2396583639
392	0.2395685941
393	0.2391616898
394	0.2391148735
395	0.2388184667
396	0.2387226284
397	0.2386866871
398	0.2385566463
399	0.23841224
400	0.238280879
401	0.2381393346
402	0.2380455519
403	0.2371883115
404	0.2371053689
405	0.2369023822
406	0.2358628853
407	0.2358027806
408	0.2357887944
409	0.2351596913
410	0.2343252515
411	0.2342321751
412	0.2333895652
413	0.2332672738
414	0.2332310809
415	0.2331100908
416	0.2330021783
417	0.2328367911
418	0.2327233941
419	0.2319915155
420	0.2319668598
421	0.2318752532
422	0.2309959348
423	0.2307872114
424	0.2307462753
425	0.2306373859
426	0.2305156883
427	0.2303927667
428	0.2303181596
429	0.2302302319
430	0.2287521093
431	0.2281640317
432	0.2280730072
433	0.2278810836
434	0.2268521821
435	0.2267753554
436	0.2261194025
437	0.2259297386
438	0.2258345927
439	0.2256613569
440	0.225257214
441	0.2252321493
442	0.2251002364
443	0.2249694126
444	0.2248874752
445	0.2247615793
446	0.2246464196
447	0.2245894268
448	0.2245151723
449	0.2244503415
450	0.2244006489
451	0.2240427624
452	0.2237336105
453	0.2232253444
454	0.2228258039
455	0.2220241745
456	0.2219431167
457	0.220865562
458	0.2206988085
459	0.2204674758
460	0.2203118652
461	0.2196497343
462	0.21960909
463	0.2189265164
464	0.2188672797
465	0.2188151111
466	0.2184348396
467	0.2181975549
468	0.2177620279
469	0.2174206187
470	0.2169670423
471	0.216940649
472	0.2167874572
473	0.2162324826
474	0.2158745722
475	0.2157609188
476	0.2156170139
477	0.2153303739
478	0.2152872247
479	0.2151697197
480	0.2150514287
481	0.2144351374
482	0.2141749291
483	0.2136346799
484	0.2134613984
485	0.2134180728
486	0.2125383064
487	0.212466547
488	0.2120816462
489	0.2116774546
490	0.2115781196
491	0.2115666686
492	0.2115433297
493	0.2114778261
494	0.2114611133
495	0.2109762598
496	0.2109629868
497	0.2109093504
498	0.2108265271
499	0.2107970777
